adult,budget,release_date,runtime,DirectorHistoryGross,ActorHistoryAverage_Gross,production_history_gross,genre_10752,genre_12,genre_14,genre_16,genre_80,genre_18,genre_10769,genre_10770,genre_27,genre_28,genre_10402,genre_35,genre_36,genre_99,genre_37,genre_878,genre_9648,genre_53,genre_10749,genre_10751,label
0,30000000.0,1995,81.0,1.0,26152067255.0,1.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,8
0,65000000.0,1995,104.0,62000000.0,226964924995.0,663199788.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
0,16000000.0,1995,127.0,1.0,2412262831.0,3160721207.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5
0,60000000.0,1995,170.0,75505856.0,481667945058.0,1591855032.3333333,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7
0,35000000.0,1995,106.0,112382982.0,26584749882.0,1169794019.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4
0,58000000.0,1995,130.0,15340000.0,25458393435.0,59973179.5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,8
0,62000000.0,1995,106.0,304517050.0,2391145500.0,532760518.5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,6
0,44000000.0,1995,192.0,290105157.0,5997492023.0,317870063.5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
0,98000000.0,1995,119.0,255000211.0,231562651175.0,321186711.25,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
0,52000000.0,1995,178.0,214555440.0,350504852750.0,879143364.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
0,16500000.0,1995,136.0,7085781.0,26046393078.0,503521230.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6
0,4000000.0,1995,98.0,228589769.0,77679544903.0,308582779.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,30000000.0,1995,90.0,1.0,122595476306.0,1618389637.3333333,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8
0,60000000.0,1995,103.0,1.0,26769001223.0,605043574.0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3
0,30250000.0,1995,105.0,202648696.0,28325042864.0,161081777.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,6
0,50000000.0,1995,132.0,326383504.0,142961062118.0,1059118246.8333334,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3
0,3600000.0,1995,112.0,1.0,48353659513.0,59973179.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
0,12000000.0,1995,100.0,1.0,27009381972.0,1108319343.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3
0,18000000.0,1995,108.0,1794187.0,201356108514.0,2265703.5238095243,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0,29500000.0,1995,129.0,41895491.0,30034308785.0,1169794019.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,7
0,30000000.0,1995,89.0,1.0,177578396609.0,1754691028.5,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,8
0,11000000.0,1995,122.0,1.0,436527587692.0,328793110.6666667,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
